AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
33,IG38,HTS61,1/1,B,SQFT,CAT8,0.272621674941248,0.059115541598080995
28,IG61,HTS6,1/1,C,BX,CAT14,-0.05954725487555506,-0.15985647155638946
2,IG38,HTS61,1/1,C,SQFT,CAT8,-0.09950071296049676,-0.15985647155638946
33,IG38,HTS61,1/1,C,SQFT,CAT8,0.16278577528551244,0.059115541598080995
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.032243876224931835,-0.050085801362053414
32,IG38,HTS61,1/1,C,SQFT,CAT8,-0.08145928333271024,-0.15985647155638946
33,IG38,HTS61,1/1,C,SQFT,CAT8,0.1425208101600035,0.059115541598080995
2,IG38,HTS61,1/1,C,SQFT,CAT8,-0.1156717937657187,-0.08663223035753452
2,IG38,HTS61,1/1,C,SQFT,CAT8,0.3142752176806368,0.03187542316166488
2,IG38,HTS61,1/1,C,SQFT,CAT8,-0.25171047612444963,-0.15985647155638946
34,IG38,HTS61,1/1,A,SQFT,CAT8,0.45495452316535595,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.5785447541172843,0.059115541598080995
34,IG38,HTS61,1/1,A,SQFT,CAT8,0.04268366690891802,-0.04940698812127455
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.06634721640939929,-0.03744016760238274
34,IG38,HTS61,1/1,A,SQFT,CAT8,1.0374470713101336,0.059115541598080995
28,IG61,HTS6,1/1,C,BX,CAT14,-0.10455656764157244,-0.15985647155638946
28,IG61,HTS6,1/1,C,BX,CAT14,-0.24039550606123847,-0.15985647155638946
2,IG38,HTS61,1/1,C,SQFT,CAT8,-0.0844215459652076,-0.15985647155638946
2,IG38,HTS61,1/1,C,SQFT,CAT8,0.14698628752139478,-0.031144722224191717
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.05687330558987582,-0.03690368617015429
34,IG38,HTS61,1/1,A,SQFT,CAT8,0.12885187510352303,0.059115541598080995
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.7447015976747864,0.08207475717732722
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.17222824101602527,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.18042220146512086,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.32337385841235716,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,-0.26080911685617,-0.15985647155638946
2,IG38,HTS61,1/1,C,SQFT,CAT8,0.019854447757381124,-0.06212926208554929
33,IG38,HTS61,1/1,C,SQFT,CAT8,-0.07514023631587431,-0.15985647155638946
34,IG38,HTS61,1/1,A,SQFT,CAT8,0.018428704598590036,-0.15985647155638946
34,IG38,HTS61,1/1,A,SQFT,CAT8,0.3696240899094189,-0.01199561967383328
